Iteration 0 with T: 24
[2019-11-27 12:21] Train Step 0000/4000, Batch Size = 128, Examples/Sec = 5156.07, Accuracy = 0.07, Loss = 2.367
[2019-11-27 12:21] Train Step 0010/4000, Batch Size = 128, Examples/Sec = 6800.83, Accuracy = 0.07, Loss = 2.419
[2019-11-27 12:21] Train Step 0020/4000, Batch Size = 128, Examples/Sec = 6698.74, Accuracy = 0.08, Loss = 2.356
[2019-11-27 12:21] Train Step 0030/4000, Batch Size = 128, Examples/Sec = 6784.24, Accuracy = 0.15, Loss = 2.333
[2019-11-27 12:21] Train Step 0040/4000, Batch Size = 128, Examples/Sec = 7794.18, Accuracy = 0.10, Loss = 2.414
[2019-11-27 12:21] Train Step 0050/4000, Batch Size = 128, Examples/Sec = 8538.97, Accuracy = 0.11, Loss = 2.311
[2019-11-27 12:21] Train Step 0060/4000, Batch Size = 128, Examples/Sec = 8284.28, Accuracy = 0.11, Loss = 2.334
[2019-11-27 12:21] Train Step 0070/4000, Batch Size = 128, Examples/Sec = 6832.24, Accuracy = 0.07, Loss = 2.315
[2019-11-27 12:21] Train Step 0080/4000, Batch Size = 128, Examples/Sec = 6923.79, Accuracy = 0.12, Loss = 2.342
[2019-11-27 12:21] Train Step 0090/4000, Batch Size = 128, Examples/Sec = 6847.49, Accuracy = 0.11, Loss = 2.332
[2019-11-27 12:21] Train Step 0100/4000, Batch Size = 128, Examples/Sec = 6698.16, Accuracy = 0.17, Loss = 2.302
[2019-11-27 12:21] Train Step 0110/4000, Batch Size = 128, Examples/Sec = 6869.93, Accuracy = 0.09, Loss = 2.302
[2019-11-27 12:21] Train Step 0120/4000, Batch Size = 128, Examples/Sec = 6732.85, Accuracy = 0.08, Loss = 2.339
[2019-11-27 12:21] Train Step 0130/4000, Batch Size = 128, Examples/Sec = 6687.15, Accuracy = 0.09, Loss = 2.354
[2019-11-27 12:21] Train Step 0140/4000, Batch Size = 128, Examples/Sec = 6938.20, Accuracy = 0.13, Loss = 2.318
[2019-11-27 12:21] Train Step 0150/4000, Batch Size = 128, Examples/Sec = 6804.45, Accuracy = 0.16, Loss = 2.320
[2019-11-27 12:21] Train Step 0160/4000, Batch Size = 128, Examples/Sec = 6785.01, Accuracy = 0.15, Loss = 2.328
[2019-11-27 12:21] Train Step 0170/4000, Batch Size = 128, Examples/Sec = 7409.41, Accuracy = 0.08, Loss = 2.316
[2019-11-27 12:21] Train Step 0180/4000, Batch Size = 128, Examples/Sec = 7530.80, Accuracy = 0.10, Loss = 2.310
[2019-11-27 12:21] Train Step 0190/4000, Batch Size = 128, Examples/Sec = 7524.36, Accuracy = 0.10, Loss = 2.361
[2019-11-27 12:21] Train Step 0200/4000, Batch Size = 128, Examples/Sec = 7267.19, Accuracy = 0.12, Loss = 2.319
[2019-11-27 12:21] Train Step 0210/4000, Batch Size = 128, Examples/Sec = 7385.46, Accuracy = 0.12, Loss = 2.342
[2019-11-27 12:21] Train Step 0220/4000, Batch Size = 128, Examples/Sec = 7504.38, Accuracy = 0.16, Loss = 2.300
[2019-11-27 12:21] Train Step 0230/4000, Batch Size = 128, Examples/Sec = 7207.77, Accuracy = 0.12, Loss = 2.314
[2019-11-27 12:21] Train Step 0240/4000, Batch Size = 128, Examples/Sec = 7482.73, Accuracy = 0.12, Loss = 2.308
[2019-11-27 12:21] Train Step 0250/4000, Batch Size = 128, Examples/Sec = 7327.20, Accuracy = 0.10, Loss = 2.326
[2019-11-27 12:21] Train Step 0260/4000, Batch Size = 128, Examples/Sec = 7504.80, Accuracy = 0.12, Loss = 2.319
[2019-11-27 12:21] Train Step 0270/4000, Batch Size = 128, Examples/Sec = 7549.65, Accuracy = 0.08, Loss = 2.323
